fid,FIRED_ID,GID,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS,POO_LONGITUDE,POO_LATITUDE,STUSPS,Event_ID,Incid_Name,MTBS_Ig_Date,MTBS_Ig_Year,MTBS_Ig_Month,BurnBndAc,MTBS_ACRE_DIFF,MTBS_PERC_DIFF,MTBS_DATE_DIFF,ig_date,ig_day,ig_month,ig_year,last_date,event_dur,tot_pix,tot_ar_km2,fsr_px_dy,fsr_km2_dy,mx_grw_px,mn_grw_px,mu_grw_px,mx_grw_km2,mn_grw_km2,mu_grw_km2,mx_grw_dte,ig_utm_x,ig_utm_y,tot_perim,tot_ar_ac,FIRED_ACRE_DIFF,FIRED_DATE_DIFF,FIRED_PERC_DIFF,PREDICTED_ACRES,mx_grw_ha,tot_ar_ha,mx_grw_pct
"26",84692,19839,2011_TX-TXS-011087_WILDCAT,TX-TXS-011087,WILDCAT,WF,159308,L,false,2011/04/11 11:20:00+00,101,2011-05-02,0,Tall Grass (2.5 feet),,,0,,,,,Coke,19 miles WSW of Bronte  TX,TX,5282333,2011,FS,0,0,0,2,0,1,,,2011/05/02 16:30:00+00,,23,,420,,420,,2003,,2011/04/11 15:01:00+00,101,260,2011/04/20 17:00:00+00,110,2011/04/19 18:15:00+00,109,46228,2011/04/18 18:00:00+00,108,8,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201337634],1,['TX3179610058220110411-WILDCAT'],100,120,['Natural'],158308,"[{'ID': 201337634, 'MTBS_ID': 'TX3179610058220110411(WILDCAT)', 'COORDS': (31.80032466, -100.61417270000001), 'CAUSE': 'Natural', 'SIZE': 158308.0, 'DISC': 100, 'CONT': 120.0}]","[(31.80032466, -100.61417270000001)]",1,1,1,201337634,31.80032466,-100.6141727,TX3179610058220110411(WILDCAT),"(31.80032466, -100.61417270000001)",-100.581944,31.795556,TX,TX3179610058220110411,WILDCAT,2011/04/11,2011,4,150157,9151,6.09428797858242,0.472222222222222,2011-04-14,104,4,2011,2011-04-27,14,2603,558.756526590731,185.928571428571,39.9111804707665,1021,2,760.112562427968,219.166505435704,0.429317346592955,163.164754206774,2011-04-16,-9495362.46887339,3535770.9961788,264966.873853966,138071.531503203,12085.4684967974,2.69444444444444,8.0485548437951,160974.131705623,21916.6505435704,55875.6526590731,39.2239723396082
"27",85637,19891,2011_TX-TXS-011148_DICKENS COUNTY COMPLEX,TX-TXS-011148,DICKENS COUNTY COMPLEX,WF,89200,L,true,2011/05/07 10:45:00+00,127,2011-05-12,0,Tall Grass (2.5 feet),,,0,,,,,Dickens,7 miles SE of Dickens  TX,TX,,2011,FS,0,0,0,0,0,0,,,2011/05/21 17:15:00+00,,21,,2,,2,6,642,2,2011/05/07 18:00:00+00,127,136,2011/05/11 18:00:00+00,131,2011/05/11 18:00:00+00,131,62500,2011/05/08 18:00:00+00,128,4,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201337903],1,['TX3354510075720110507-DICKENS COUNTY COMPLEX'],126,134,['Missing data/not specified/undetermined'],89200,"[{'ID': 201337903, 'MTBS_ID': 'TX3354510075720110507(DICKENS COUNTY COMPLEX)', 'COORDS': (33.60996575, -100.69241219999999), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 89200.0, 'DISC': 126, 'CONT': 134.0}]","[(33.60996575, -100.69241219999999)]",1,1,1,201337903,33.60996575,-100.6924122,TX3354510075720110507(DICKENS COUNTY COMPLEX),"(33.60996575, -100.69241219999999)",-100.7575,33.545278,TX,TX3354510075720110507,DICKENS COUNTY COMPLEX,2011/05/07,2011,5,90808,1608,1.7707690952339,0.447916666666667,2011-05-07,127,5,2011,2011-05-15,9,1716,368.354283376755,190.666666666667,40.9282537085284,1020,1,724.047785547786,218.951846762407,0.214658673296478,155.42313704894,2011-05-09,-9320230.26202584,3734995.4642858,112129.677399766,91022.1851938131,214.185193813144,0.28125,0.235865996182213,106267.745176013,21895.1846762407,36835.4283376755,59.4405594405594
"28",86554,18074,2011_AZ-ASF-110152-1_WALLOW,AZ-ASF-110152-1,WALLOW,WF,538049,U,false,2011/05/29 13:30:00+00,149,,0,Timber (Litter and Understory),,,8,,,,,Greenlee,Alpine  AZ,AZ,109000000,2011,FS,6,0,5,72,4,32,,,2011/07/08 17:38:00+00,,46,,12900,400,2500,227,41752,16,2011/06/08 21:00:00+00,159,2543,2011/06/10 17:00:00+00,161,2011/06/20 16:00:00+00,171,73600,2011/06/07 23:37:00+00,158,22,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[20026006],1,['AZ3360210944920110529-WALLOW'],149,193,['Recreation and ceremony'],538049,"[{'ID': 20026006, 'MTBS_ID': 'AZ3360210944920110529(WALLOW)', 'COORDS': (33.60611111, -109.44972220000001), 'CAUSE': 'Recreation and ceremony', 'SIZE': 538049.0, 'DISC': 149, 'CONT': 193.0}]","[(33.60611111, -109.44972220000001)]",1,1,1,20026006,33.60611111,-109.4497222,AZ3360210944920110529(WALLOW),"(33.60611111, -109.44972220000001)",-109.448889,33.601944,AZ,AZ3360210944920110529,WALLOW,2011/05/29,2011,5,563664,25615,4.54437395327713,0.5625,2011-05-31,151,5,2011,2011-06-28,29,8599,1845.84993167641,296.51724137931,63.6499976440141,1108,4,630.17641586231,237.841810012497,0.85863469318591,135.272833371733,2011-06-06,-10071260.1755176,3770670.54345845,906023.673528599,456118.747366899,107545.252633101,1.60416666666667,19.0796738186403,530781.903556288,23784.1810012497,184584.993167641,12.8852192115362
"29",87154,19979,2011_TX-TXS-011242_WHITE HAT,TX-TXS-011242,WHITE HAT,WF,72473,U,false,2011/06/20 16:30:00+00,171,2011-06-27,0,Tall Grass (2.5 feet),,,0,,,,,"Coke, Nolan",8 mi. west of Blackwell,TX,,2011,FS,2,0,2,14,0,12,,,2011/07/01 17:20:00+00,,12,,200,,150,6,700,3,2011/06/23 18:21:00+00,174,141,2011/06/24 17:45:00+00,175,2011/06/22 18:52:00+00,173,28559,2011/06/22 18:52:00+00,173,2,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201338382],1,['TX3207810046020110620-WHITE HAT'],171,178,['Missing data/not specified/undetermined'],72473,"[{'ID': 201338382, 'MTBS_ID': 'TX3207810046020110620(WHITE HAT)', 'COORDS': (32.0782, -100.4601833), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 72473.0, 'DISC': 171, 'CONT': 178.0}]","[(32.0782, -100.4601833)]",1,1,1,201338382,32.0782,-100.4601833,TX3207810046020110620(WHITE HAT),"(32.0782, -100.4601833)",-100.46,32.078056,TX,TX3207810046020110620,WHITE HAT,2011/06/20,2011,6,71857,616,0.857258165523192,0.6875,2011-06-20,171,6,2011,2011-06-29,10,1275,273.689808453009,127.5,27.3689808453009,740,1,522.727058823529,158.847418239393,0.214658673296478,112.207896943229,2011-06-22,-9465247.14229907,3565886.32275311,185325.086611168,67630.1201177807,4226.87988221926,0.520833333333333,5.88234950278924,79068.7412757223,15884.7418239393,27368.9808453009,58.0392156862745
"30",88170,18539,2011_ID-BOD-000542_BIG HILL,ID-BOD-000542,BIG HILL,WF,67000,L,false,2011/08/14 22:21:00+00,226,2011-08-16,0,Brush (2 feet),,,0,,,,,OWYHEE,16 MILES S OF BRUNEAU  ID,ID,150000,2011,FS,0,0,0,0,0,0,,,2011/08/17 14:12:00+00,,3,,,,,2,196,1,2011/08/15 14:11:00+00,227,68,2011/08/17 14:12:00+00,229,2011/08/17 14:12:00+00,229,40000,2011/08/15 14:11:00+00,227,3,"['FS', 'FS', 'FS']",FS,FS,100,[201108330],1,['ID4266311590220110814-BIG HILL'],226,230,['Natural'],67061,"[{'ID': 201108330, 'MTBS_ID': 'ID4266311590220110814(BIG HILL)', 'COORDS': (42.6629, -115.9073), 'CAUSE': 'Natural', 'SIZE': 67061.0, 'DISC': 226, 'CONT': 230.0}]","[(42.6629, -115.9073)]",1,1,1,201108330,42.6629,-115.9073,ID4266311590220110814(BIG HILL),"(42.6629, -115.9073)",-115.901667,42.6625,ID,ID4266311590220110814,BIG HILL,2011/08/14,2011,8,65416,1584,2.42142595083772,0.93125,2011-08-16,228,8,2011,2011-08-20,5,1044,224.103654921522,208.8,44.8207309843045,952,1,875.208812260536,204.355056978247,0.214658673296478,187.871162497233,2011-08-16,-9478219.89836186,4733434.36840346,187130.337477244,55377.1336493828,10038.8663506172,1.23541666666667,15.3461941277626,64821.6439946176,20435.5056978247,22410.3654921523,91.1877394636015
"31",88767,18816,2011_MN-SUF-110519_PAGAMI CREEK,MN-SUF-110519,PAGAMI CREEK,WF,92193,L,false,2011/08/17 22:13:00+00,229,,0,Timber (Litter and Understory),,,7,,,,,Lake,13 miles east of Ely  MN  mostly in the Boundary Waters Canoe Area Wilderness,MN,22700000,2011,FS,0,0,0,2,0,0,,,2011/10/24 14:21:00+00,,60,,150,30,100,235,22085,9,2011/10/06 17:00:00+00,279,968,2011/09/25 18:00:00+00,268,2011/09/13 17:20:00+00,256,76193,2011/09/13 17:20:00+00,256,27,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'PZP', 'PZP', 'PZP', 'PZP', 'PZP', 'PZP', 'PZP', 'PZP', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",C,FS,55,[20020362],1,['MN4790609152420110817-PAGAMI CREEK'],230,332,['Natural'],92682,"[{'ID': 20020362, 'MTBS_ID': 'MN4790609152420110817(PAGAMI CREEK)', 'COORDS': (47.90555556, -91.52416667), 'CAUSE': 'Natural', 'SIZE': 92682.0, 'DISC': 230, 'CONT': 332.0}]","[(47.90555556, -91.52416667)]",1,1,1,20020362,47.90555556,-91.52416667,MN4790609152420110817(PAGAMI CREEK),"(47.90555556, -91.52416667)",-91.524444,47.905556,MN,MN4790609152420110817,PAGAMI CREEK,2011/08/17,2011,8,85116,7077,8.3145354574933,0.925694444444444,2011-09-07,250,9,2011,2011-09-19,13,1479,317.48017780549,113.769230769231,24.4215521388839,842,1,572.507775524003,180.742602915634,0.214658673296478,122.8937595459,2011-09-14,-6822511.40722384,5314891.827646,184326.461178081,78450.9393366257,6665.06066337433,20.2409722222222,7.8305614260237,91650.5934200745,18074.2602915634,31748.017780549,56.9303583502366
"32",93768,21435,2012_NM-GNF-000143_WHITEWATER-BALDY,NM-GNF-000143,WHITEWATER-BALDY,WF,297845,L,true,2012/05/16 10:25:00+00,137,2012-07-19,0,Timber (Litter and Understory),,,8,,,,,Catron,15 Miles East of Glenwood  New Mexico,NM,23000000,2012,M,0,0,0,20,0,12,,,2012/07/31 18:13:00+00,,61,,65,,59,226,24533,12,2012/05/29 18:00:00+00,150,1257,2012/06/01 18:00:00+00,153,2012/06/13 18:00:00+00,165,60478,2012/05/24 15:30:00+00,145,28,"['PZP', 'PZP', 'FS', 'PZP', 'FS', 'PZP', 'PZP', 'FS', 'FS', 'FS', 'PZP', 'FS', 'PZP', 'FS', 'PZP', 'FS', 'FS', 'FS', 'PZP', 'PZP', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'M', 'M', 'M', 'M', 'M', 'M', 'M']",PZP,M,3.27868852459016,[201750033],1,['NM3326710859220120509-WHITEWATER-BALDY'],137,213,['Natural'],297845,"[{'ID': 201750033, 'MTBS_ID': 'NM3326710859220120509(WHITEWATER-BALDY)', 'COORDS': (33.344722, -108.710278), 'CAUSE': 'Natural', 'SIZE': 297845.0, 'DISC': 137, 'CONT': 213.0}]","[(33.344722, -108.710278)]",1,1,1,201750033,33.344722,-108.710278,NM3326710859220120509(WHITEWATER-BALDY),"(33.344722, -108.710278)",-108.710278,33.344722,NM,NM3326710859220120509,WHITEWATER-BALDY,2012/05/16,2012,5,306923,9078,2.95774510219175,0.434027777777778,2012-05-11,132,5,2012,2012-06-20,41,4982,1069.42951036305,121.512195121951,26.0836465942208,718,1,357.098354074669,154.124927426871,0.214658673296478,76.6542589220242,2012-05-24,-10097669.0003597,3708586.63944371,584412.648258113,264261.379158262,42661.6208417382,5.26736111111111,13.8997796977542,307700.73097726,15412.4927426871,106942.951036305,14.4118827780008
"33",94820,21347,2012_MT-NCA-000025_ASH CREEK,MT-NCA-000025,ASH CREEK,WF,249562,L,true,2012/06/25 16:30:00+00,177,2012-07-09,0,Timber (Grass and Understory),,,2,,,,,ROSEBUD,10 MILES EAST OF LAME DEER  MT,MT,7500000,2012,FS,0,0,0,39,0,17,,,2012/07/11 15:00:00+00,,16,,95,5,60,42,7454,5,2012/07/01 18:00:00+00,183,828,2012/07/04 18:00:00+00,186,2012/07/04 18:00:00+00,186,70000,2012/06/27 22:00:00+00,179,9,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201504944],1,['MT4566910646920120625-ASH CREEK'],177,209,['Natural'],249562,"[{'ID': 201504944, 'MTBS_ID': 'MT4566910646920120625(ASH CREEK)', 'COORDS': (45.66972, -106.46916999999999), 'CAUSE': 'Natural', 'SIZE': 249562.0, 'DISC': 177, 'CONT': 209.0}]","[(45.66972, -106.46916999999999)]",1,1,1,201504944,45.66972,-106.46917,MT4566910646920120625(ASH CREEK),"(45.66972, -106.46916999999999)",-106.469167,45.668611,MT,MT4566910646920120625,ASH CREEK,2012/06/25,2012,6,253413,3851,1.51965368785343,0.6875,2012-06-19,171,6,2012,2012-07-10,22,4543,975.194352785897,206.5,44.3270160357226,1708,1,862.551837992516,366.637013990384,0.214658673296478,185.154233192912,2012-06-28,-8254147.7012951,5071189.33875231,398384.936213983,240975.400545159,12437.5994548408,6.52083333333333,4.90803528423594,280625.07856858,36663.7013990384,97519.4352785897,37.5963020030817
"34",95221,20982,2012_ID-TFD-000263_KINYON ROAD,ID-TFD-000263,KINYON ROAD,WF,210874,L,false,2012/07/07 15:49:00+00,189,2012-07-13,0,Brush (2 feet),,,2,,,,,Twin Falls,8  Miles SW of Castleford ID,ID,1625000,2012,FS,0,0,0,0,0,0,,,2012/07/19 17:27:00+00,,14,,9,,6,18,1361,3,2012/07/08 18:41:00+00,190,300,2012/07/10 18:00:00+00,192,2012/07/10 18:00:00+00,192,108127,2012/07/09 16:49:00+00,191,3,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201502937],1,['ID4245311502520120707-KINYON ROAD'],189,197,['Natural'],210874,"[{'ID': 201502937, 'MTBS_ID': 'ID4245311502520120707(KINYON ROAD)', 'COORDS': (42.4533, -115.0253), 'CAUSE': 'Natural', 'SIZE': 210874.0, 'DISC': 189, 'CONT': 197.0}]","[(42.4533, -115.0253)]",1,1,1,201502937,42.4533,-115.0253,ID4245311502520120707(KINYON ROAD),"(42.4533, -115.0253)",-115.025278,42.453333,ID,ID4245311502520120707,KINYON ROAD,2012/07/07,2012,7,171409,39465,23.0238785594689,0.659027777777778,2012-07-07,189,7,2012,2012-07-18,12,2980,639.682846423503,248.333333333333,53.3069038686253,2211,1,1697.02214765101,474.610326658512,0.214658673296478,364.280522769504,2012-07-10,-9414746.05619753,4756600.00422986,494841.981251866,158068.82976548,13340.1702345203,0.492361111111111,7.78265448985776,184225.887874352,47461.0326658512,63968.2846423503,74.1946308724832
"35",95267,21693,2012_OR-VAD-000067_LONG DRAW,OR-VAD-000067,LONG DRAW,WF,557628,L,false,2012/07/08 18:04:00+00,190,2012-07-15,0,Short Grass (1 foot),,,0,,,,,Malheur,Basque Oregon,OR,4360000,2012,FS,0,0,0,0,0,0,,,2012/07/30 18:46:00+00,,16,,290,20,70,49,4237,8,2012/07/14 16:00:00+00,196,543,2012/07/14 16:00:00+00,196,2012/07/14 16:00:00+00,196,290000,2012/07/10 15:00:00+00,192,6,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201508655],1,['OR4239211789420120708-LONG DRAW'],190,212,['Natural'],558198.3,"[{'ID': 201508655, 'MTBS_ID': 'OR4239211789420120708(LONG DRAW)', 'COORDS': (42.391894, -117.89368700000001), 'CAUSE': 'Natural', 'SIZE': 558198.3, 'DISC': 190, 'CONT': 212.0}]","[(42.391894, -117.89368700000001)]",1,1,1,201508655,42.391894,-117.893687,OR4239211789420120708(LONG DRAW),"(42.391894, -117.89368700000001)",-117.893611,42.391667,OR,OR4239211789420120708,LONG DRAW,2012/07/08,2012,7,557620,8,0.00143466877084753,0.752777777777778,2012-07-08,190,7,2012,2012-07-21,14,9535,2046.77044988191,681.071428571429,146.19788927728,6052,1,4123.99926586261,1299.11429079028,0.214658673296478,885.252211085716,2012-07-11,-9688100.558949,4711195.35801012,692891.823925685,505767.21201807,51852.78798193,0.586111111111111,9.29894694988163,588510.401630375,129911.429079028,204677.044988191,63.4714210802307
"36",95268,21673,2012_OR-BUD-20072_MILLER HOMESTEAD,OR-BUD-20072,MILLER HOMESTEAD,WF,160853,L,false,2012/07/08 16:02:00+00,190,2012-07-24,0,Brush (2 feet),,,0,,,,,Harney,1/2 mile west of Frenchglen  Oregon,OR,6000000,2012,FS,0,0,0,3,0,1,,,2012/09/21 15:00:00+00,,16,,39,6,15,47,5173,7,2012/07/13 20:47:00+00,195,733,2012/07/15 20:00:00+00,197,2012/07/13 20:47:00+00,195,50000,2012/07/12 20:00:00+00,194,5,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201508153],1,['OR4281911917520120708-MILLER HOMESTEAD'],190,321,['Natural'],160801,"[{'ID': 201508153, 'MTBS_ID': 'OR4281911917520120708(MILLER HOMESTEAD)', 'COORDS': (42.8186, -119.175), 'CAUSE': 'Natural', 'SIZE': 160801.0, 'DISC': 190, 'CONT': 321.0}]","[(42.8186, -119.175)]",1,1,1,201508153,42.8186,-119.175,OR4281911917520120708(MILLER HOMESTEAD),"(42.8186, -119.175)",-119.175,42.818611,OR,OR4281911917520120708,MILLER HOMESTEAD,2012/07/08,2012,7,163356,2503,1.53223634271162,0.668055555555556,2012-07-08,190,7,2012,2012-07-26,19,2492,534.929413854822,131.157894736842,28.1541796765696,1071,1,712.280898876405,229.899439100527,0.214658673296478,152.897272767231,2012-07-14,-9697830.12599609,4774205.88745792,365050.420624001,132183.732810596,31172.2671894042,0.501388888888889,19.0824133728815,154128.123921196,22989.9439100527,53492.9413854822,42.9775280898876
"37",95802,21513,2012_NV-WID-020210_HOLLOWAY,NV-WID-020210,HOLLOWAY,WF,460850,L,false,2012/08/05 16:32:00+00,218,2012-08-24,0,Brush (2 feet),,,7,,,,,Humboldt,25 Miles East of Denio  NV,NV,9166719,2012,FS,0,0,0,3,0,0,,,2012/08/23 17:15:00+00,,23,,73,,20,81,10844,6,2012/08/14 18:00:00+00,227,826,2012/08/17 20:30:00+00,230,2012/08/16 17:30:00+00,229,107489,2012/08/10 17:00:00+00,223,11,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201507302],1,['NV4197311836620120805-HOLLOWAY'],218,244,['Natural'],461047,"[{'ID': 201507302, 'MTBS_ID': 'NV4197311836620120805(HOLLOWAY)', 'COORDS': (41.9733, -118.365), 'CAUSE': 'Natural', 'SIZE': 461047.0, 'DISC': 218, 'CONT': 244.0}]","[(41.9733, -118.365)]",1,1,1,201507302,41.9733,-118.365,NV4197311836620120805(HOLLOWAY),"(41.9733, -118.365)",-118.366389,41.973333,NV,NV4197311836620120805,HOLLOWAY,2012/08/05,2012,8,457931,2919,0.637432276915081,0.688888888888889,2012-07-26,208,7,2012,2012-08-23,29,7676,1647.71997622376,264.689655172414,56.8179302146125,1373,1,873.244398124023,294.726358436064,0.214658673296478,187.449483964884,2012-08-09,-9776129.97508931,4678763.46785317,729110.215814881,407159.844724773,50771.1552752274,10.5222222222222,11.0870754055147,473855.190177675,29472.6358436064,164771.997622376,17.8869202709745
"38",96142,20992,2012_ID-TFD-000424_FLAT TOP 2,ID-TFD-000424,FLAT TOP 2,WF,140954,L,false,2012/08/05 22:23:00+00,218,2012-08-11,0,Short Grass (1 foot),,,0,,,,,Lincoln,10 miles north of Kimama  Idaho,ID,600000,2012,FS,0,0,0,0,0,0,,,2012/08/13 18:25:00+00,,8,,,,,7,576,1,2012/08/06 18:43:00+00,219,89,2012/08/08 18:23:00+00,221,2012/08/08 18:23:00+00,221,83000,2012/08/07 21:47:00+00,220,3,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201503107],1,['ID4295911374920120805-FLAT TOP 2'],218,226,['Natural'],140954,"[{'ID': 201503107, 'MTBS_ID': 'ID4295911374920120805(FLAT TOP 2)', 'COORDS': (42.9594, -113.7497), 'CAUSE': 'Natural', 'SIZE': 140954.0, 'DISC': 218, 'CONT': 226.0}]","[(42.9594, -113.7497)]",1,1,1,201503107,42.9594,-113.7497,ID4295911374920120805(FLAT TOP 2),"(42.9594, -113.7497)",-113.749722,42.959444,ID,ID4295911374920120805,FLAT TOP 2,2012/08/05,2012,8,102340,38614,37.7310924369748,0.932638888888889,2012-08-07,220,8,2012,2012-08-16,10,1679,360.411912464786,167.9,36.0411912464786,983,2,673.030970815962,211.009475850437,0.429317346592955,144.471935282795,2012-08-09,-9263242.7978929,4780228.95277278,300210.640310088,89059.5856296109,13280.4143703891,1.23402777777778,12.9767582278573,103985.742581204,21100.9475850437,36041.1912464786,58.5467540202501
"39",96418,20692,2012_CA-NOD-3490_RUSH,CA-NOD-3490,RUSH,WF,315577,L,false,2012/08/12 18:42:00+00,225,2012-08-30,0,Brush (2 feet),,,4,,,,,Lassen,15 miles SE of Ravendale  Ca.,CA,15170000,2012,FS,1,0,0,0,0,0,,,2012/09/04 06:00:00+00,,40,,39,2,30,248,22081,37,2012/08/20 18:00:00+00,233,885,2012/08/23 18:00:00+00,236,2012/08/21 18:00:00+00,234,44359,2012/08/17 06:00:00+00,230,9,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201501605],1,['CA4062112015220120812-RUSH'],225,296,['Natural'],315578.8,"[{'ID': 201501605, 'MTBS_ID': 'CA4062112015220120812(RUSH)', 'COORDS': (40.6153, -120.1153), 'CAUSE': 'Natural', 'SIZE': 315578.8, 'DISC': 225, 'CONT': 296.0}]","[(40.6153, -120.1153)]",1,1,1,201501605,40.6153,-120.1153,CA4062112015220120812(RUSH),"(40.6153, -120.1153)",-120.152222,40.621111,CA,CA4062112015220120812,RUSH,2012/08/12,2012,8,306811,8766,2.85713354475557,0.779166666666667,2012-08-13,226,8,2012,2012-09-01,20,5226,1121.80622664739,261.3,56.0903113323696,1121,1,670.934940681209,240.632372765351,0.214658673296478,144.022004234879,2012-08-15,-10165775.9696893,4498534.82112381,651281.679438189,277203.927635704,29607.0723642963,0.3875,9.64993835432768,322749.612953838,24063.2372765351,112180.622664739,21.4504401071565
